Metabolite,pos_in_ppm,couple_code,J_constant,relative_intensity,overwrite_pos,overwrite_truncation,Include_multiplet
CD14_positive_monocyte,159,-2,"1,317",1,n,n,1
CD16_positive_monocyte,159,-2,"1,317",1,n,n,1
CD4_positive_alpha_beta_T_cell,159,-2,"1,317",1,n,n,1
CD56bright_natural_killer_cell,159,-2,"1,317",1,n,n,1
CD56dim_natural_killer_cell,159,-2,"1,317",1,n,n,1
CD8_positive_alpha_beta_T_cell,159,-2,"1,317",1,n,n,1
MAST_cell,159,-2,"1,317",1,n,n,1
basophil,159,-2,"1,317",1,n,n,1
eosinophil,159,-2,"1,317",1,n,n,1
gamma_delta_T_cell,159,-2,"1,317",1,n,n,1
hematopoietic_progenitor,159,-2,"1,317",1,n,n,1
macrophage_m0,159,-2,"1,317",1,n,n,1
macrophage_m1,159,-2,"1,317",1,n,n,1
macrophage_m2,159,-2,"1,317",1,n,n,1
memory_B_cell,159,-2,"1,317",1,n,n,1
myeloid_dendritic_cell,159,-2,"1,317",1,n,n,1
naive_B_cell,159,-2,"1,317",1,n,n,1
neutrophil,159,-2,"1,317",1,n,n,1
plasma_cell,159,-2,"1,317",1,n,n,1
plasmacytoid_dendritic_cell,159,-2,"1,317",1,n,n,1
